Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;125e-03;45e-03;71e-03;-3,402823E+38;0;0;100;56
2;142e-03;41e-03;83e-03;-3,402823E+38;0;0;100;23
3;147e-03;39e-03;83e-03;-3,402823E+38;0;0;100;32
4;183e-03;62e-03;86e-03;-3,402823E+38;0;0;100;21
5;173e-03;40e-03;87e-03;-3,402823E+38;0;0;100;21
6;187e-03;40e-03;97e-03;-3,402823E+38;0;0;100;16
7;188e-03;40e-03;91e-03;-3,402823E+38;0;0;100;18
8;197e-03;43e-03;95e-03;-3,402823E+38;0;0;100;13
9;200e-03;38e-03;90e-03;-3,402823E+38;0;0;100;15
10;240e-03;57e-03;107e-03;-3,402823E+38;0;0;100;11
11;222e-03;40e-03;102e-03;-3,402823E+38;0;0;100;18
12;235e-03;39e-03;98e-03;-3,402823E+38;0;0;100;13
13;261e-03;38e-03;105e-03;-3,402823E+38;0;0;100;9
14;254e-03;44e-03;94e-03;-3,402823E+38;0;0;100;13
15;258e-03;39e-03;101e-03;-3,402823E+38;0;0;100;9
16;278e-03;46e-03;115e-03;-3,402823E+38;0;0;100;13
17;282e-03;45e-03;98e-03;-3,402823E+38;0;0;100;16
18;288e-03;40e-03;95e-03;-3,402823E+38;0;0;100;11
19;282e-03;40e-03;96e-03;-3,402823E+38;0;0;100;14
20;286e-03;40e-03;90e-03;-3,402823E+38;0;0;100;12
21;302e-03;40e-03;99e-03;-3,402823E+38;0;0;100;10
22;303e-03;39e-03;103e-03;-3,402823E+38;0;0;100;16
23;328e-03;49e-03;103e-03;-3,402823E+38;0;0;100;8
24;327e-03;44e-03;97e-03;-3,402823E+38;0;0;100;12
25;329e-03;42e-03;94e-03;-3,402823E+38;0;0;100;11
26;324e-03;43e-03;94e-03;-3,402823E+38;0;0;100;13
27;345e-03;44e-03;96e-03;-3,402823E+38;0;0;100;12
28;359e-03;45e-03;98e-03;-3,402823E+38;0;0;100;14
29;366e-03;39e-03;97e-03;-3,402823E+38;0;0;100;9
30;388e-03;68e-03;94e-03;-3,402823E+38;0;0;100;16
Total Execution Time;7813
TotalNeigExplored;475
Best;0,7152778
