Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;277e-03;132e-03;130e-03;-3,402823E+38;0;0;100;91
2;280e-03;85e-03;162e-03;-3,402823E+38;0;0;100;37
3;288e-03;109e-03;139e-03;-3,402823E+38;0;0;100;50
4;311e-03;101e-03;159e-03;-3,402823E+38;0;0;100;48
5;295e-03;84e-03;148e-03;-3,402823E+38;0;0;100;40
6;348e-03;101e-03;165e-03;-3,402823E+38;0;0;100;49
7;380e-03;132e-03;150e-03;-3,402823E+38;0;0;100;43
8;363e-03;95e-03;160e-03;-3,402823E+38;0;0;100;47
9;396e-03;101e-03;156e-03;-3,402823E+38;0;0;100;47
10;420e-03;104e-03;162e-03;-3,402823E+38;0;0;100;49
11;436e-03;103e-03;174e-03;-3,402823E+38;0;0;100;36
12;523e-03;125e-03;201e-03;-3,402823E+38;0;0;100;48
13;557e-03;163e-03;186e-03;-3,402823E+38;0;0;100;54
14;500e-03;130e-03;170e-03;-3,402823E+38;0;0;100;46
15;501e-03;132e-03;161e-03;-3,402823E+38;0;0;100;54
16;500e-03;107e-03;164e-03;-3,402823E+38;0;0;100;52
17;538e-03;112e-03;192e-03;-3,402823E+38;0;0;100;34
18;561e-03;112e-03;188e-03;-3,402823E+38;0;0;100;45
19;611e-03;100e-03;190e-03;-3,402823E+38;0;0;100;39
20;639e-03;124e-03;189e-03;-3,402823E+38;0;0;100;41
21;599e-03;99e-03;180e-03;-3,402823E+38;0;0;100;31
22;734e-03;109e-03;206e-03;-3,402823E+38;0;0;100;35
23;715e-03;156e-03;207e-03;-3,402823E+38;0;0;100;44
24;597e-03;122e-03;160e-03;-3,402823E+38;0;0;100;34
25;590e-03;94e-03;152e-03;-3,402823E+38;0;0;100;38
26;676e-03;156e-03;162e-03;-3,402823E+38;0;0;100;45
27;737e-03;108e-03;182e-03;-3,402823E+38;0;0;100;45
28;683e-03;130e-03;170e-03;-3,402823E+38;0;0;100;52
29;717e-03;132e-03;205e-03;-3,402823E+38;0;0;100;36
30;674e-03;117e-03;168e-03;-3,402823E+38;0;0;100;49
Total Execution Time;15464
TotalNeigExplored;1359
Best;0,7145833
