Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;227e-03;78e-03;134e-03;-3,402823E+38;0;0;100;97
2;230e-03;70e-03;131e-03;-3,402823E+38;0;0;100;58
3;261e-03;68e-03;149e-03;-3,402823E+38;0;0;100;51
4;265e-03;72e-03;140e-03;-3,402823E+38;0;0;100;50
5;296e-03;77e-03;152e-03;-3,402823E+38;0;0;100;52
6;329e-03;94e-03;155e-03;-3,402823E+38;0;0;100;67
7;302e-03;64e-03;152e-03;-3,402823E+38;0;0;100;36
8;338e-03;69e-03;160e-03;-3,402823E+38;0;0;100;32
9;312e-03;62e-03;139e-03;-3,402823E+38;0;0;100;34
10;357e-03;73e-03;156e-03;-3,402823E+38;0;0;100;50
11;413e-03;89e-03;175e-03;-3,402823E+38;0;0;100;32
12;436e-03;102e-03;171e-03;-3,402823E+38;0;0;100;40
13;438e-03;82e-03;171e-03;-3,402823E+38;0;0;100;37
14;510e-03;104e-03;198e-03;-3,402823E+38;0;0;100;57
15;438e-03;73e-03;172e-03;-3,402823E+38;0;0;100;32
16;433e-03;80e-03;159e-03;-3,402823E+38;0;0;100;36
17;494e-03;95e-03;161e-03;-3,402823E+38;0;0;100;42
18;485e-03;74e-03;182e-03;-3,402823E+38;0;0;100;25
19;516e-03;73e-03;168e-03;-3,402823E+38;0;0;100;35
20;527e-03;92e-03;166e-03;-3,402823E+38;0;0;100;39
21;528e-03;73e-03;168e-03;-3,402823E+38;0;0;100;35
22;519e-03;75e-03;165e-03;-3,402823E+38;0;0;100;33
23;575e-03;83e-03;190e-03;-3,402823E+38;0;0;100;33
24;588e-03;70e-03;175e-03;-3,402823E+38;0;0;100;32
25;624e-03;106e-03;186e-03;-3,402823E+38;0;0;100;35
26;583e-03;78e-03;164e-03;-3,402823E+38;0;0;100;28
27;666e-03;84e-03;240e-03;-3,402823E+38;0;0;100;21
28;644e-03;68e-03;166e-03;-3,402823E+38;0;0;100;25
29;656e-03;94e-03;161e-03;-3,402823E+38;0;0;100;38
30;714e-03;83e-03;214e-03;-3,402823E+38;0;0;100;35
Total Execution Time;13718
TotalNeigExplored;1217
Best;0,7152778
