Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;486e-03;175e-03;274e-03;-3,402823E+38;0;0;100;179
2;579e-03;225e-03;290e-03;0,6992632;0,006992632;1;99;166
3;635e-03;212e-03;308e-03;0,7011133;0,007011133;1;99;179
4;685e-03;233e-03;311e-03;0,7025;0,02803458;4;96;141
5;695e-03;187e-03;327e-03;0,7003606;0,02099217;3;97;133
6;762e-03;194e-03;372e-03;0,7003394;0,02798585;4;96;127
7;769e-03;209e-03;351e-03;0,7015046;0,01398873;2;98;122
8;774e-03;156e-03;346e-03;0,7025263;0,02097764;3;97;110
9;847e-03;213e-03;347e-03;0,6995295;0,006995295;1;99;108
10;898e-03;201e-03;366e-03;0,7030501;0,02101638;3;97;157
11;833e-03;187e-03;276e-03;0,6982571;0,006982571;1;99;105
12;805e-03;151e-03;281e-03;0,6994167;0,006994167;1;99;85
13;905e-03;196e-03;329e-03;0,7003268;0,01399782;2;98;145
14;972e-03;181e-03;353e-03;0,7009333;0,0139939;2;98;139
15;921e-03;173e-03;305e-03;0,6992632;0,02793088;4;96;135
16;1020e-03;176e-03;347e-03;0,7031893;0,0349586;5;95;130
17;1047e-03;193e-03;305e-03;0,6997778;0,02794969;4;96;118
18;1131e-03;216e-03;340e-03;0,7004938;0,03493658;5;95;138
19;1226e-03;215e-03;384e-03;0,7021205;0,04193171;6;94;113
20;1204e-03;204e-03;361e-03;0,6991883;0,02096881;3;97;129
21;1276e-03;226e-03;373e-03;0,7011646;0,04199655;6;94;138
22;1233e-03;214e-03;315e-03;0,7031893;0,014034;2;98;123
23;1286e-03;207e-03;355e-03;0,6991883;0,01398377;2;98;132
24;1394e-03;183e-03;341e-03;0,701417;0,03498727;5;95;112
25;1314e-03;197e-03;330e-03;0,7012;0,04191745;6;94;108
26;1553e-03;251e-03;394e-03;0,7010869;0,04196162;6;94;156
27;1413e-03;164e-03;373e-03;0,701511;0,02099738;3;97;77
28;1428e-03;178e-03;363e-03;0,7007408;0,04195177;6;94;95
29;1406e-03;152e-03;312e-03;0,7019548;0,02803134;4;96;98
30;1565e-03;211e-03;384e-03;0,7013333;0,03502508;5;95;123
Total Execution Time;31076
TotalNeigExplored;3821
Best;0,7031893
