Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;263e-03;86e-03;162e-03;-3,402823E+38;0;0;100;109
2;255e-03;83e-03;143e-03;-3,402823E+38;0;0;100;80
3;271e-03;89e-03;141e-03;-3,402823E+38;0;0;100;74
4;270e-03;70e-03;146e-03;0,697381;0,00697381;1;99;46
5;263e-03;65e-03;137e-03;-3,402823E+38;0;0;100;41
6;313e-03;78e-03;156e-03;-3,402823E+38;0;0;100;51
7;337e-03;99e-03;148e-03;-3,402823E+38;0;0;100;49
8;348e-03;80e-03;164e-03;-3,402823E+38;0;0;100;51
9;333e-03;74e-03;143e-03;-3,402823E+38;0;0;100;54
10;366e-03;80e-03;167e-03;-3,402823E+38;0;0;100;54
11;393e-03;82e-03;161e-03;0,697381;0,00697381;1;99;51
12;415e-03;71e-03;191e-03;-3,402823E+38;0;0;100;34
13;459e-03;121e-03;171e-03;-3,402823E+38;0;0;100;36
14;371e-03;62e-03;142e-03;-3,402823E+38;0;0;100;29
15;489e-03;85e-03;190e-03;-3,402823E+38;0;0;100;50
16;587e-03;94e-03;239e-03;-3,402823E+38;0;0;100;36
17;490e-03;78e-03;174e-03;-3,402823E+38;0;0;100;18
18;592e-03;91e-03;197e-03;-3,402823E+38;0;0;100;44
19;581e-03;132e-03;187e-03;0,6969529;0,006969529;1;99;40
20;552e-03;95e-03;179e-03;-3,402823E+38;0;0;100;51
21;561e-03;84e-03;192e-03;-3,402823E+38;0;0;100;31
22;575e-03;102e-03;188e-03;-3,402823E+38;0;0;100;37
23;635e-03;96e-03;198e-03;-3,402823E+38;0;0;100;43
24;662e-03;119e-03;201e-03;-3,402823E+38;0;0;100;38
25;730e-03;115e-03;236e-03;-3,402823E+38;0;0;100;28
26;623e-03;73e-03;181e-03;-3,402823E+38;0;0;100;39
27;707e-03;87e-03;197e-03;-3,402823E+38;0;0;100;31
28;691e-03;90e-03;206e-03;-3,402823E+38;0;0;100;39
29;613e-03;67e-03;170e-03;-3,402823E+38;0;0;100;34
30;718e-03;108e-03;241e-03;-3,402823E+38;0;0;100;27
Total Execution Time;14479
TotalNeigExplored;1345
Best;0,697381
