Generation;TotalTime;ExplorationTime;EvaluatorTime;BestGenPath;AveragePathValue;SuccessfulPathCount;DeadEndCount;NeigExplored
1;43e-03;21e-03;20e-03;0,664;0,2088378;32;68;25
2;38e-03;7e-03;28e-03;0,675;0,3425255;53;47;3
3;41e-03;6e-03;31e-03;0,675;0,419661;65;35;2
4;38e-03;6e-03;28e-03;0,675;0,4528;70;30;3
5;38e-03;6e-03;28e-03;0,675;0,4879833;75;25;1
6;47e-03;9e-03;34e-03;0,675;0,4673334;72;28;0
7;41e-03;7e-03;30e-03;0,675;0,4097822;63;37;1
8;40e-03;6e-03;29e-03;0,675;0,4686322;72;28;2
9;44e-03;11e-03;27e-03;0,675;0,42357;65;35;0
10;41e-03;6e-03;28e-03;0,675;0,4867176;75;25;0
11;44e-03;8e-03;29e-03;0,675;0,4566588;70;30;1
12;49e-03;9e-03;34e-03;0,675;0,4939744;76;24;0
13;49e-03;7e-03;34e-03;0,675;0,4679599;72;28;0
14;41e-03;6e-03;28e-03;0,675;0,50496;78;22;0
15;53e-03;6e-03;36e-03;0,675;0,4484621;69;31;0
16;44e-03;10e-03;27e-03;0,675;0,500031;77;23;0
17;40e-03;6e-03;27e-03;0,675;0,4827434;74;26;1
18;48e-03;6e-03;35e-03;0,675;0,5061722;78;22;0
19;50e-03;8e-03;35e-03;0,675;0,4501665;69;31;0
20;52e-03;9e-03;35e-03;0,675;0,4737444;73;27;0
21;61e-03;7e-03;41e-03;0,675;0,5006254;77;23;0
22;75e-03;14e-03;49e-03;0,675;0,4486299;69;31;0
23;53e-03;6e-03;37e-03;0,675;0,48697;75;25;0
24;49e-03;9e-03;32e-03;0,675;0,4790811;74;26;0
25;46e-03;6e-03;32e-03;0,675;0,4878066;75;25;0
26;47e-03;7e-03;31e-03;0,675;0,5237667;81;19;0
27;46e-03;8e-03;28e-03;0,675;0,48092;74;26;0
28;51e-03;8e-03;34e-03;0,675;0,4752332;73;27;0
29;49e-03;7e-03;34e-03;0,675;0,4940588;76;24;0
30;51e-03;6e-03;32e-03;0,675;0,5075166;78;22;0
Total Execution Time;1425
TotalNeigExplored;39
Best;0,675
