Generation;TotalTime;ExplorationTime;EvaluatorTime;BestPathValue;BestGenPath;AveragePathValue;WorstPathValue;WorstGenPathValue;SuccessfulPathCount;DeadEndCount
1;692e-03;647e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
2;680e-03;610e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
3;876e-03;782e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
4;886e-03;751e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
5;922e-03;763e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
6;1001e-03;779e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
7;759e-03;544e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
8;1007e-03;756e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
9;920e-03;650e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
10;1099e-03;764e-03;0e-03;-3,402823E+38;-3,402823E+38;0;3,402823E+38;3,402823E+38;5;0
Total Execution Time;8848
